PA,SZ,AG,Sex,TOD,Pop,Time
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 4-Room Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Condominiums and Other Apartments,100,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Condominiums and Other Apartments,100,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,Condominiums and Other Apartments,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,HDB 5-Room and Executive Flats,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,Condominiums and Other Apartments,50,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,HDB 4-Room Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,Condominiums and Other Apartments,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,Condominiums and Other Apartments,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,HDB 3-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,HDB 4-Room Flats,20,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,HDB 5-Room and Executive Flats,70,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,Condominiums and Other Apartments,40,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,HDB 4-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,HDB 5-Room and Executive Flats,60,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,Condominiums and Other Apartments,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Males,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,HDB 3-Room Flats,10,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,HDB 4-Room Flats,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,HDB 5-Room and Executive Flats,80,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,HUDC Flats (excluding those privatised),0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,Condominiums and Other Apartments,30,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,Landed Properties,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Females,Others,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,HDB 1- and 2-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,HDB 3-Room Flats,0,2022
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Males,HDB 4-Room Flats,10,2022
